Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,,,,,,,,,,8.57,6.49,7.46,
Kenya,,37.1,34.51,28.26,27.93,28.79,30.49,29.72,33.31,33.17,26.22,22.38,20.69
Madagascar,,,,,,,,0.28,0.22,0.27,0.27,0.83,0.92
Mauritius,914.83,1150.73,1172.25,1096.67,1277.46,1228.5,1008.89,863.98,729.88,,,,
Mozambique,,30.13,26.29,21.82,23.63,21.81,20.05,,,,,,
Uganda,89.68,132.12,196.34,240.05,157.39,106.27,86.04,70.68,63.26,58.33,49.62,45.15,
United Republic of Tanzania,,,,,,,,,,1.1,1.76,2.01,0.33
Zimbabwe,1382.85,1271.4,851.09,895.18,750.79,677.68,,,,,,,
Cameroon,68.76,69.56,66.27,73.41,51.69,,64.09,79.74,84.09,72.73,112.68,110.96,69.78
Sao Tome and Principe,,,,1.28,,,2.99,9.36,11.45,,,,
Algeria,,,,163.22,142.2,149.67,149.47,141.7,144.9,106.27,143.03,119.93,124.97
Egypt,41.68,43.81,46.68,62.2,64.61,70.17,50.73,94.05,103.99,,,,
Morocco,234.09,216.99,204.35,239.72,255.31,255.01,247.19,,,292.02,322.32,,
Sudan,,,,,,220.6,,,,,,,
Botswana,,,,,,,1063.32,1451.1,1210.27,,,1335.89,
Lesotho,,,,,243.35,251.85,225.93,,,,,,
Swaziland,1979.41,1904.59,,,,,,,,,,,
Cabo Verde,,,,,,,,764.92,792.47,752.09,748.34,777.57,799.42
Guinea,,,,,13.28,,,,,,,,
Nigeria,,,,,14.33,15.83,25.76,12.85,,13.45,13.93,,
Senegal,,,,,,,,19.32,,,,,16.54
Sierra Leone,,,,,186.53,190.24,,,,,,,
Bahamas,,,440.4,381.48,391.81,441.78,443.09,545.69,536.94,533.05,,,
Barbados,,464.31,412.39,457.02,709.02,778.54,744.44,739.36,833.21,843.81,656.63,690.95,596.03
Dominican Republic,,,,,,,,,,98.94,,235.28,
Grenada,,,1761.03,1875.87,1783.04,2000.31,897.43,918.06,1241.08,1456.26,1209.61,1267.52,1948.05
Jamaica,,,,,,,,,,115.38,75.36,,
Puerto Rico,,,,,,888.19,822.49,721.71,790.74,826.51,795.54,785.24,664.99
Saint Kitts and Nevis,,,,,,,1069.28,1018.11,926.45,,,,
Saint Vincent and the Grenadines,,1857.91,1777.49,1697.76,1403.96,1583.84,1688.71,1739,2114.49,1923.46,,,
Trinidad and Tobago,,150.09,212.19,235.12,272.67,335.04,301.67,307.88,233.59,267.52,193.07,174.53,137.49
Belize,,,592.35,638.69,,,375.57,259.94,283.12,244.13,271.07,234.86,
Costa Rica,166.68,187.22,196.83,239.65,278.62,308.95,389.77,445.45,445.87,309.1,696.6,,
El Salvador,,,180.25,191.32,135.67,158.02,168.6,160.24,179.53,168.87,152.19,123.34,139.38
Guatemala,,40.16,32.64,28.72,29.94,33.3,41.51,44.21,53.97,59.29,,,
Honduras,,,,,80.62,71.95,66.44,59.68,53.35,64.76,57.69,,36.11
Mexico,,76.8,77.29,77.01,87.98,91.67,113.29,111.34,112.3,75.91,72.94,139.96,114.16
Nicaragua,,,269.77,320.61,,,,182.18,,,,,
Panama,,364.13,421.11,530.63,406.64,474.69,510.42,504.4,500.68,542.34,540.95,549.5,480.44
Bermuda,1493.64,1541.7,,,,,1133.64,950.68,924.85,884.79,774.22,1019.62,1028.97
Canada,2278.79,2164.78,2033.35,1946.9,1811.59,1707.61,1703.73,1594.76,1494.47,1476.76,1381.08,1368.9,1402.65
United States of America,2414.66,2363.33,2290.62,2217.21,2185.12,2163.15,2062.97,2002.28,1969.04,1959.62,1898.07,1818.46,1773.4
Argentina,,,775.74,738.25,662.49,703.79,,,,,,667.9,626.3
