Country,Year,Value
Afghanistan,2007,0.0294
Afghanistan,2012,0.0185
Albania,2007,0.0852
Albania,2012,0.0316
Algeria,2007,0.0105
Algeria,2012,0.0038
Angola,2007,0.0054
Angola,2012,0.0055
Antigua and Barbuda,2007,0.0011
Argentina,2007,0.0022
Argentina,2012,0.0007
Armenia,2007,0.0422
Armenia,2012,0.0030
Armenia,2012,0.0031
Aruba,2007,0.0044
Aruba,2012,0.0120
Australia,2007,0.0544
Australia,2012,0.0450
Austria,2007,0.0185
Austria,2007,0.0185
Austria,2012,0.0175
Austria,2012,0.0175
Azerbaijan,2007,0.0111
Azerbaijan,2012,0.0017
Azerbaijan,2012,0.0017
Bahrain,2007,0.3046
Bahrain,2012,0.0247
Bangladesh,2007,0.0250
Bangladesh,2012,0.0146
Barbados,2007,0.0075
Barbados,2012,0.0079
Barbados,2012,0.0079
Belarus,2007,0.0067
Belarus,2012,0.0127
Belgium,2007,0.0252
Belgium,2012,0.0243
Belgium,2012,0.0243
Belize,2007,0.0280
Belize,2012,0.0223
Benin,2007,0.0063
Benin,2012,0.0011
Bhutan,2007,0.0255
Bhutan,2012,0.0139
Bosnia and Herzegovina,2007,0.0010
Bosnia and Herzegovina,2012,0.0007
Bosnia and Herzegovina,2012,0.0007
Botswana,2007,0.0108
Botswana,2012,0.0097
Brazil,2007,0.0000
Brazil,2007,0.0000
Brazil,2012,0.0001
Brazil,2012,0.0001
Brunei Darussalam,2007,0.0066
Brunei Darussalam,2012,0.0053
Bulgaria,2007,0.0108
Bulgaria,2012,0.0068
Bulgaria,2012,0.0068
Burkina Faso,2007,0.0088
Burundi,2012,0.0045
Cambodia,2007,0.0206
Cambodia,2012,0.0102
Cameroon,2012,0.0029
Canada,2007,0.0374
Canada,2012,0.0338
Chile,2007,0.0084
Chile,2012,0.0116
China,2007,0.0017
China,2012,0.0013
Colombia,2007,0.0033
Colombia,2012,0.0031
Costa Rica,2007,0.0068
Costa Rica,2012,0.0042
Croatia,2007,0.0052
Croatia,2012,0.0047
Cuba,2007,0.0173
Cuba,2012,0.0072
Cuba,2012,0.0072
Cyprus,2007,0.0576
Cyprus,2007,0.0505
Cyprus,2012,0.0405
Denmark,2007,0.0161
Denmark,2007,0.0162
Denmark,2012,0.0173
Denmark,2012,0.0174
Djibouti,2007,0.0258
Dominican Republic,2007,0.0168
Dominican Republic,2012,0.0158
Ecuador,2007,0.0032
Ecuador,2012,0.0024
El Salvador,2007,0.0497
El Salvador,2007,0.0468
El Salvador,2012,0.0385
Equatorial Guinea,2007,0.0138
Estonia,2007,0.0113
Estonia,2012,0.0090
Ethiopia,2007,0.0007
Ethiopia,2007,0.0006
Ethiopia,2012,0.0007
Fiji,2007,0.0343
Fiji,2007,0.0344
Fiji,2007,0.0345
Fiji,2012,0.0335
Finland,2007,0.0135
Finland,2012,0.0199
Finland,2012,0.0199
France,2007,0.0078
