Country,Year,Value
Afghanistan,2011,8.20
Albania,2007,13.50
Albania,2008,13.00
Albania,2009,13.76
Albania,2010,14.20
Albania,2011,13.98
Albania,2012,13.44
Albania,2013,15.64
Albania,2014,17.49
Algeria,2003,23.70
Algeria,2004,17.70
Algeria,2005,15.30
Algeria,2006,12.30
Algeria,2007,13.80
Algeria,2008,11.30
Algeria,2009,10.16
Algeria,2010,9.96
Algeria,2011,10.00
Algeria,2012,10.97
Algeria,2013,9.82
Algeria,2014,10.60
Antigua and Barbuda,2011,10.20
Argentina,2003,16.03
Argentina,2004,12.60
Argentina,2005,10.60
Argentina,2006,9.45
Argentina,2007,8.50
Argentina,2008,7.84
Argentina,2009,8.65
Argentina,2010,7.38
Argentina,2011,7.05
Argentina,2012,7.34
Argentina,2013,6.61
Argentina,2014,7.30
Armenia,2008,16.40
Armenia,2009,18.70
Armenia,2010,19.00
Armenia,2011,18.40
Armenia,2012,17.30
Armenia,2013,16.20
Armenia,2014,17.60
Australia,2003,5.93
Australia,2004,5.39
Australia,2005,5.03
Australia,2006,4.78
Australia,2007,4.38
Australia,2008,4.23
Australia,2009,5.56
Australia,2010,5.21
Australia,2011,5.08
Australia,2012,5.22
Australia,2013,5.66
Australia,2014,6.07
Austria,2003,4.80
Austria,2004,5.80
Austria,2005,5.60
Austria,2006,5.30
Austria,2007,4.90
Austria,2008,4.10
Austria,2009,5.30
Austria,2010,4.80
Austria,2011,4.60
Austria,2012,4.90
Austria,2013,5.40
Austria,2014,5.60
Azerbaijan,2003,9.20
Azerbaijan,2004,8.00
Azerbaijan,2005,7.30
Azerbaijan,2006,6.60
Azerbaijan,2007,6.30
Azerbaijan,2008,5.90
Azerbaijan,2009,5.70
Azerbaijan,2010,5.60
Azerbaijan,2011,5.40
Azerbaijan,2012,5.20
Azerbaijan,2013,4.97
Azerbaijan,2014,4.91
Bahamas,2003,10.84
Bahamas,2004,10.20
Bahamas,2005,10.20
Bahamas,2006,7.60
Bahamas,2007,7.88
Bahamas,2008,8.18
Bahamas,2009,14.25
Bahamas,2011,14.52
Bahamas,2012,14.02
Bahamas,2013,16.20
Bahrain,2010,1.13
