Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
Afghanistan,2009,0.32311093488599274,-0.1,-0.1,-0.1,-0.1,0.5148001215455412,-0.1,-0.1
Albania,2009,0.25605935768362686,0.2366782775554284,0,0.5587378409411851,-0.1,0.6982028420224963,0.7614709844115207,-0.1
Algeria,2009,0,0.3742466920000029,0,0.6007559035338474,-0.1,0.6932640171022879,0.6643856189774724,-0.1
Andorra,2009,0,0.6807120036329841,-0.1,0.8486816796355616,-0.1,0.8948268364122494,-0.1,-0.1
Angola,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.683007270542384,-0.1,-0.1
Anguilla,2009,0.45354353671141284,-0.1,-0.1,-0.1,-0.1,0.8343042723516999,-0.1,-0.1
"Antigua and Barbuda",2009,0.6862759150983436,-0.1,-0.1,-0.1,-0.1,0.8016750582754791,-0.1,-0.1
Argentina,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7569709211089558,0.6339850002884624,-0.1
Armenia,2009,0.25605935768362686,0.5836964178544918,0,0.5880171357729231,-0.1,0.6747629095068421,0.849585502688717,-0.1
Aruba,2009,0.32311093488599274,-0.1,-0.1,-0.1,-0.1,0.8484506318978864,-0.1,-0.1
Australia,2009,0,0.9154675010697911,-0.1,0.9239251907040633,-0.1,0.9016590323229091,0.5169925001442313,-0.1
Austria,2009,0,0.9455871682789372,0.48950825960253475,0.9082599032006904,-0.1,0.9036084310714045,0.4643856189774725,-0.1
Azerbaijan,2009,0.16155546744299637,0,-0.1,0.4458381856776302,-0.1,0.7134799878099273,0.5169925001442313,-0.1
Bahamas,2009,0.7502403574771078,0.6256170597550371,0.7650401862893763,0.7315722010446978,-0.1,0.8391057054235482,0.7614709844115207,-0.1
Bahrain,2009,0,-0.1,-0.1,-0.1,-0.1,0.8273754648803594,-0.1,-0.1
Bangladesh,2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,0.5473547632096813,0.4643856189774725,-0.1
Barbados,2009,0.45354353671141284,0.8553571437107464,0.7080221182045977,0.7938180074723058,-0.1,0.8149209911884927,0.6643856189774724,-0.1
Belarus,2009,0.3751201787385539,-0.1,0.15442266280111014,0.8120478400846116,-0.1,0.7175477637528597,0,-0.1
Belgium,2009,-0.1,0.8978105365795753,0.7501823611047864,0.918280353518202,-0.1,0.8983077580436839,0.6,-0.1
Belgium***,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Belize,2009,0.961932968171916,0.7943676421335687,0.5129809820463254,0.711885273267062,-0.1,0.7011703753732951,0.7400879436282184,-0.1
Benin,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5574423582609087,-0.1,-0.1
