Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
Afghanistan,2011,0.3058497366056643,-0.1,-0.1,-0.1,0.9796535035309937,0.5382627457546596,0.6055472597462995,-0.1
Albania,2011,0.35508054811929585,0.29266319661056833,0,0.6053318081228758,0.8245079663220395,0.6959942410441741,0.7685111133111894,-0.1
Algeria,2011,0,0.4287438335231472,0,0.5935905536482152,0.8438631878598168,0.7124199046483153,0.6705281516444292,-0.1
Andorra,2011,0,0.6431157502847207,0.15561139140249397,0.85437390976279,0.6618493869311838,0.8812032913135006,-0.1,-0.1
Angola,2011,-0.1,-0.1,-0.1,-0.1,0.9568778437082763,0.7068875970417084,-0.1,-0.1
Anguilla,2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.8239861188383675,-0.1,-0.1
"Antigua and Barbuda",2011,-0.1,-0.1,-0.1,-0.1,0.7881562355394939,0.7841571458087448,0.6705281516444292,-0.1
Argentina,2011,-0.1,-0.1,-0.1,-0.1,0.7269559209843837,0.7831731485168595,0.5666620267290895,-0.1
Armenia,2011,0.15292486830283214,0.5869607298099716,-0.1,0.5910969481512875,0.8461502734671293,0.6791307396030073,0.8416955526569921,-0.1
Aruba,2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.8386533363303662,-0.1,-0.1
Australia,2011,0,0.9101376937459288,-0.1,0.9192453977611712,0.13236987738623673,0.9217521795022157,0.4686790650623294,-0.1
Austria,2011,0,0.8866544110344234,0.5578610028629835,0.8924156573690699,0.6069109240409528,0.8975424815445207,0.4686790650623294,-0.1
Azerbaijan,2011,-0.1,0.2769748777754113,-0.1,0.47577856707727517,0.8319979210339762,0.7349140364159817,0.4686790650623294,-0.1
Bahamas,2011,0.7843949298542625,0.6037275708202169,0.7559571820586738,0.7497505959272629,0.7754202260559419,0.8261780406146189,0.7886022980997756,-0.1
Bahrain,2011,0,-0.1,-0.1,-0.1,0.7352602452275264,0.8281519850501285,0,-0.1
Bangladesh,2011,0.24238018168771028,-0.1,-0.1,-0.1,0.9423333569162553,0.5540844820188566,-0.1,-0.1
Barbados,2011,0.5080054164221279,0.8581254819643533,0.722636923163929,0.8021157348504461,0.7617737530329647,0.7992044631966057,0.6982831123151736,-0.1
Belarus,2011,0.3058497366056643,-0.1,0,0.7936615223851833,0.7545665065379703,0.7244152355640433,0,-0.1
Belgium,2011,-0.1,0.9041189649480903,0.7709293811404034,0.9181138168816105,0.5902944165713263,0.8924356934420692,0.5666620267290895,-0.1
Belgium***,2011,0.15292486830283214,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Belize,2011,0.8025386238561696,0.7732251742871882,0.46683417420748186,0.6733500570865892,0.8850912549262498,0.69691602667869,-0.1,-0.1
Benin,2011,-0.1,-0.1,-0.1,-0.1,0.9773800318510203,0.5534649352411123,-0.1,-0.1
Bermuda,2011,0.5658892565592958,0.9592719255698062,0.4932764401159909,0.8146107981218396,-0.1,0.9432029213467003,-0.1,-0.1
Bhutan,2011,0.24238018168771028,0.5361638065784461,0.46683417420748186,0.5015068012561414,0.9324655858398058,0.6474627121493293,0.31992323303744613,-0.1
"Bolivia (Plurinational State of)",2011,0.5080054164221279,-0.1,0.7314419647434819,0.4540325064196901,0.9110546165372616,0.643784584763391,0.31992323303744613,-0.1
"Bosnia and Herzegovina",2011,0,0.7915616272818206,0,0.6166997504976356,0.8392051675289705,0.7029941331736369,0.9703601998932893,-0.1
Botswana,2011,0.529033124682762,0.7083563571111744,1,0.8466453990493654,0.8941436304192014,0.7380853084525203,-0.1,-0.1
Brazil,2011,0.7011547865962067,0.6946125510715417,0.6834946256400193,0.7667001622365288,0.8344306847059229,0.7847051520796923,0.5666620267290895,-0.1
"British Virgin Islands",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.8611587782457075,-0.1,-0.1
"Brunei Darussalam",2011,-0.1,-0.1,-0.1,-0.1,0.6495245064883778,0.8897823502640959,0.20184908658209985,-0.1
Bulgaria,2011,0.15292486830283214,0.7486191901183555,0.15561139140249397,0.7712372462511642,0.7687188589711236,0.7415470188720129,0.6982831123151736,-0.1
"Burkina Faso",2011,0,-0.1,-0.1,-0.1,0.9969280404775208,0.5383871820911801,-0.1,-0.1
Burundi,2011,0.3058497366056643,-0.1,0.43685640558202377,-0.1,0.9958929736310222,0.44961695938844076,-0.1,-0.1
"Cabo Verde",2011,0.529033124682762,-0.1,0.6939383590404257,0.7960957521507105,0.9174208515694122,0.6818578709749227,-0.1,-0.1
Cambodia,2011,0.15292486830283214,-0.1,-0.1,-0.1,0.9477512909505864,0.5613672185081416,-0.1,-0.1
